latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-22.28356,-41.72686,318.6,0.39,0.6,2026-05-18,0323,N,nominal,2.0NRT,289.59,4.08,N
15.19558,-10.04258,303.44,0.57,0.69,2026-05-18,0313,N,nominal,2.0NRT,290.69,1.47,N
58.47895,1.26068,305.75,0.35,0.57,2026-05-18,0120,N,nominal,2.0NRT,278.01,0.8,N
40.34269,-4.4456,296.39,0.49,0.65,2026-05-18,0124,N,nominal,2.0NRT,274.74,0.48,N
14.14921,-11.91388,307.62,0.45,0.63,2026-05-18,0313,N,nominal,2.0NRT,291.34,0.81,N
55.09598,21.79924,303.67,0.46,0.39,2026-05-18,0120,N,nominal,2.0NRT,277.83,1.09,N
39.08265,9.02056,303.88,0.38,0.36,2026-05-18,0124,N,nominal,2.0NRT,290.7,0.9,N
13.89088,-13.31009,318.86,0.37,0.58,2026-05-18,0313,N,nominal,2.0NRT,293.48,1.32,N
55.57833,4.76001,298.04,0.49,0.48,2026-05-18,0120,N,nominal,2.0NRT,275.1,0.62,N
39.07936,9.01972,300.01,0.38,0.36,2026-05-18,0124,N,nominal,2.0NRT,289.3,0.9,N
13.12185,-10.12044,325.14,0.62,0.72,2026-05-18,0315,N,nominal,2.0NRT,288.46,6.4,N
47.88073,35.19304,297.18,0.79,0.78,2026-05-18,0120,N,nominal,2.0NRT,280.32,1.09,N
40.10788,-3.70773,319.08,0.44,0.63,2026-05-18,0124,N,nominal,2.0NRT,279.81,1.94,N
13.73902,-13.14536,367,0.38,0.59,2026-05-18,0315,N,high,2.0NRT,305.47,20.09,N
53.52199,9.90407,332.19,0.46,0.39,2026-05-18,0120,N,nominal,2.0NRT,284.34,4.34,N
39.93621,-3.74449,297.24,0.45,0.63,2026-05-18,0124,N,nominal,2.0NRT,281.21,0.79,N
13.73831,-13.14181,357.18,0.38,0.59,2026-05-18,0315,N,nominal,2.0NRT,303.29,20.09,N
53.63567,-0.24968,296.58,0.37,0.58,2026-05-18,0120,N,nominal,2.0NRT,282.24,1.28,N
36.79768,10.2858,307.22,0.4,0.37,2026-05-18,0126,N,nominal,2.0NRT,286.13,0.84,N
13.73761,-13.13827,322.23,0.38,0.59,2026-05-18,0315,N,nominal,2.0NRT,294.04,3.13,N
53.63552,-0.24388,302.82,0.37,0.58,2026-05-18,0120,N,nominal,2.0NRT,279.27,1.21,N
36.77676,10.19964,300.9,0.4,0.37,2026-05-18,0126,N,nominal,2.0NRT,286.98,0.36,N
13.73973,-13.14892,314.21,0.38,0.59,2026-05-18,0315,N,nominal,2.0NRT,293.82,10.75,N
52.17612,14.61661,302.63,0.38,0.36,2026-05-18,0120,N,nominal,2.0NRT,280.16,0.53,N
36.67709,9.91917,310.73,0.39,0.36,2026-05-18,0126,N,nominal,2.0NRT,284.08,0.7,N
13.7369,-13.13473,306.87,0.38,0.59,2026-05-18,0315,N,nominal,2.0NRT,293.44,3.13,N
52.17287,14.61524,299.89,0.38,0.36,2026-05-18,0120,N,nominal,2.0NRT,281.6,0.53,N
36.59115,10.31806,303.29,0.4,0.37,2026-05-18,0126,N,nominal,2.0NRT,285.73,0.74,N
13.73505,-13.15367,331.51,0.38,0.59,2026-05-18,0315,N,nominal,2.0NRT,293.88,10.75,N
52.1711,14.62627,312.25,0.38,0.36,2026-05-18,0120,N,nominal,2.0NRT,279.54,1.15,N
36.52269,10.66804,297.45,0.41,0.37,2026-05-18,0126,N,nominal,2.0NRT,283.89,0.4,N
13.73435,-13.15013,367,0.38,0.59,2026-05-18,0315,N,high,2.0NRT,298.21,10.75,N
52.67366,0.26064,297.87,0.35,0.57,2026-05-18,0122,N,nominal,2.0NRT,275.03,0.62,N
36.88215,6.96003,308.64,0.4,0.37,2026-05-18,0126,N,nominal,2.0NRT,282.83,0.8,N
13.73364,-13.14659,357.65,0.38,0.59,2026-05-18,0315,N,nominal,2.0NRT,295.21,20.09,N
51.4928,6.7333,312.2,0.56,0.43,2026-05-18,0122,N,nominal,2.0NRT,276.31,1.59,N
36.87798,6.94071,298.54,0.4,0.37,2026-05-18,0126,N,nominal,2.0NRT,283.97,0.75,N
13.73293,-13.14305,320.52,0.38,0.59,2026-05-18,0315,N,nominal,2.0NRT,293.36,20.09,N
36.76144,7.30906,315.56,0.39,0.36,2026-05-18,0126,N,nominal,2.0NRT,285.01,1.9,N
51.49203,6.74137,298.43,0.56,0.43,2026-05-18,0122,N,nominal,2.0NRT,276.83,1.59,N
13.73221,-13.13949,308.48,0.38,0.59,2026-05-18,0315,N,nominal,2.0NRT,293.68,3.13,N
36.74707,6.25437,333.23,0.41,0.37,2026-05-18,0126,N,nominal,2.0NRT,286.99,3.73,N
50.65453,11.43249,299.66,0.4,0.37,2026-05-18,0122,N,nominal,2.0NRT,278.27,0.82,N
13.72966,-13.15485,306.22,0.38,0.59,2026-05-18,0315,N,nominal,2.0NRT,292.43,1.66,N
36.74785,6.2574,327.35,0.41,0.37,2026-05-18,0126,N,nominal,2.0NRT,285.89,1.39,N
48.61317,21.19672,298.64,0.41,0.45,2026-05-18,0122,N,nominal,2.0NRT,281.55,1.65,N
13.71701,-13.23149,312.52,0.38,0.59,2026-05-18,0315,N,nominal,2.0NRT,293.72,1.55,N
36.74508,6.25207,299.24,0.41,0.37,2026-05-18,0126,N,nominal,2.0NRT,287.87,1.39,N
48.61084,21.19461,297.08,0.41,0.45,2026-05-18,0122,N,nominal,2.0NRT,279.53,1.26,N
36.74443,6.25667,295.35,0.41,0.37,2026-05-18,0126,N,nominal,2.0NRT,284.35,1.39,N
48.60548,21.17978,311.17,0.41,0.45,2026-05-18,0122,N,nominal,2.0NRT,280.05,1.99,N
13.56428,-12.5109,307.77,0.43,0.62,2026-05-18,0315,N,nominal,2.0NRT,292.36,1.05,N
36.74803,3.08046,298.94,0.54,0.42,2026-05-18,0126,N,nominal,2.0NRT,285.45,0.71,N
51.04562,2.29094,298.37,0.56,0.51,2026-05-18,0122,N,nominal,2.0NRT,274.17,2.05,N
13.55863,-12.5121,304.72,0.43,0.62,2026-05-18,0315,N,nominal,2.0NRT,292.08,1.05,N
35.77437,9.89073,300.36,0.4,0.37,2026-05-18,0126,N,nominal,2.0NRT,285.09,0.99,N
51.04516,2.29911,314.72,0.56,0.51,2026-05-18,0122,N,nominal,2.0NRT,272.54,2.05,N
13.71486,-13.23131,318.31,0.38,0.59,2026-05-18,0315,N,nominal,2.0NRT,293.82,1.97,N
36.68,3.12428,313.87,0.54,0.42,2026-05-18,0126,N,nominal,2.0NRT,287.04,1.19,N
51.03605,2.28958,317.66,0.56,0.51,2026-05-18,0122,N,nominal,2.0NRT,267.94,1.33,N
13.56233,-12.51373,308.64,0.43,0.62,2026-05-18,0315,N,nominal,2.0NRT,292.03,0.88,N
36.63222,3.23281,296.47,0.53,0.42,2026-05-18,0126,N,nominal,2.0NRT,284.68,1.2,N
51.02738,2.27189,304.78,0.56,0.51,2026-05-18,0122,N,nominal,2.0NRT,277.2,1.94,N
13.55669,-12.51494,306.28,0.43,0.62,2026-05-18,0315,N,nominal,2.0NRT,292.32,0.88,N
36.3327,5.4813,297.86,0.43,0.38,2026-05-18,0126,N,nominal,2.0NRT,281.22,1.6,N
49.95393,9.77008,302.25,0.43,0.38,2026-05-18,0122,N,nominal,2.0NRT,278.87,0.51,N
13.35924,-13.57704,314.28,0.37,0.58,2026-05-18,0315,N,nominal,2.0NRT,293.12,0.87,N
36.59634,2.87824,298.78,0.55,0.43,2026-05-18,0126,N,nominal,2.0NRT,277.25,0.84,N
48.27876,14.34733,327.65,0.39,0.36,2026-05-18,0122,N,nominal,2.0NRT,282.57,1.66,N
13.35393,-13.57803,305.44,0.37,0.58,2026-05-18,0315,N,nominal,2.0NRT,292.78,0.87,N
36.17645,5.57201,299.69,0.43,0.38,2026-05-18,0126,N,nominal,2.0NRT,279.58,0.96,N
48.27966,14.34214,310.31,0.39,0.36,2026-05-18,0122,N,nominal,2.0NRT,279.38,1.66,N
13.3316,-14.0982,305.31,0.34,0.56,2026-05-18,0315,N,nominal,2.0NRT,293.08,0.8,N
36.17891,3.74723,295.74,0.5,0.41,2026-05-18,0126,N,nominal,2.0NRT,263.97,0.63,N
48.27727,14.33567,345.76,0.39,0.36,2026-05-18,0122,N,nominal,2.0NRT,288.76,6.77,N
13.15856,-13.81769,308.24,0.36,0.57,2026-05-18,0315,N,nominal,2.0NRT,292.88,0.94,N
13.01363,-13.52815,304.09,0.37,0.58,2026-05-18,0315,N,nominal,2.0NRT,291.78,0.54,N
36.13866,2.92934,297.17,0.54,0.42,2026-05-18,0126,N,nominal,2.0NRT,273.29,0.77,N
48.27637,14.34086,322.27,0.39,0.36,2026-05-18,0122,N,nominal,2.0NRT,281.71,2.81,N
13.25608,-14.94797,312.3,0.6,0.53,2026-05-18,0315,N,nominal,2.0NRT,291.01,1.76,N
35.02656,9.7802,297.24,0.4,0.37,2026-05-18,0126,N,nominal,2.0NRT,281.79,0.56,N
48.27547,14.34605,322.24,0.39,0.36,2026-05-18,0122,N,nominal,2.0NRT,278.74,2.81,N
13.25123,-14.94892,306.76,0.6,0.53,2026-05-18,0315,N,nominal,2.0NRT,290.41,1.76,N
35.34869,5.76239,297.87,0.41,0.37,2026-05-18,0126,N,nominal,2.0NRT,277.15,0.91,N
48.27818,14.33048,295.04,0.39,0.36,2026-05-18,0122,N,nominal,2.0NRT,280.24,6.77,N
13.0133,-14.35185,305.78,0.33,0.55,2026-05-18,0315,N,nominal,2.0NRT,292.64,1.08,N
35.81453,-0.27585,310.16,0.53,0.5,2026-05-18,0126,N,nominal,2.0NRT,281.59,2.36,N
48.2731,14.33958,330.42,0.39,0.36,2026-05-18,0122,N,nominal,2.0NRT,278.51,2.81,N
12.9073,-13.80465,308.12,0.36,0.57,2026-05-18,0315,N,nominal,2.0NRT,291.8,0.8,N
35.81403,-0.26998,303.26,0.53,0.5,2026-05-18,0126,N,nominal,2.0NRT,284.61,2.28,N
48.274,14.33439,311.57,0.39,0.36,2026-05-18,0122,N,nominal,2.0NRT,279.78,6.77,N
13.13064,-15.61292,314.61,0.54,0.51,2026-05-18,0315,N,nominal,2.0NRT,291.08,3.11,N
35.80836,-0.25875,297.71,0.53,0.5,2026-05-18,0126,N,nominal,2.0NRT,279.33,1.13,N
48.26088,14.3293,307.43,0.39,0.36,2026-05-18,0122,N,nominal,2.0NRT,279.57,1.69,N
12.73504,-14.14098,306.53,0.34,0.56,2026-05-18,0315,N,nominal,2.0NRT,291.27,1.2,N
35.76974,-0.22152,298.69,0.52,0.5,2026-05-18,0126,N,nominal,2.0NRT,275.27,1.24,N
48.65257,10.16444,297.24,0.41,0.37,2026-05-18,0122,N,nominal,2.0NRT,272.95,0.72,N
12.73173,-14.15154,316.43,0.34,0.56,2026-05-18,0315,N,nominal,2.0NRT,291.31,1.08,N
33.86167,12.06015,305.7,0.49,0.4,2026-05-18,0126,N,nominal,2.0NRT,288.72,0.55,N
48.65343,10.16361,297.2,0.41,0.37,2026-05-18,0122,N,nominal,2.0NRT,274.03,0.61,N
12.73111,-14.14839,309.57,0.34,0.56,2026-05-18,0315,N,nominal,2.0NRT,291.49,1.08,N
33.85802,12.05913,315.35,0.49,0.4,2026-05-18,0126,N,nominal,2.0NRT,289.07,1.63,N
45.12463,25.4161,312.74,0.39,0.59,2026-05-18,0122,N,nominal,2.0NRT,280.48,1.41,N
12.59671,-13.84376,305.19,0.36,0.58,2026-05-18,0315,N,nominal,2.0NRT,290.99,0.64,N
34.5696,7.24137,303.03,0.39,0.36,2026-05-18,0126,N,nominal,2.0NRT,286.69,0.59,N
48.33295,9.73433,302.77,0.42,0.37,2026-05-18,0122,N,nominal,2.0NRT,276.44,0.67,N
12.23048,-13.91209,345.52,0.36,0.58,2026-05-18,0315,N,nominal,2.0NRT,291.55,6.47,N
33.87354,9.99097,305.43,0.41,0.37,2026-05-18,0126,N,nominal,2.0NRT,287.85,1.16,N
47.79206,12.18302,312.26,0.38,0.36,2026-05-18,0122,N,nominal,2.0NRT,278.45,0.64,N
12.22982,-13.90874,321.71,0.36,0.58,2026-05-18,0315,N,nominal,2.0NRT,290.37,3.65,N
33.36575,8.55023,296.49,0.39,0.36,2026-05-18,0126,N,nominal,2.0NRT,285.23,0.36,N
46.5798,15.67064,305.24,0.43,0.38,2026-05-18,0122,N,nominal,2.0NRT,277.51,0.88,N
12.22798,-13.91556,304.04,0.36,0.58,2026-05-18,0315,N,nominal,2.0NRT,290.2,1.03,N
43.84837,24.33607,301.54,0.38,0.58,2026-05-18,0122,N,nominal,2.0NRT,280.51,0.71,N
34.59443,-2.34988,295.59,0.34,0.56,2026-05-18,0126,N,nominal,2.0NRT,282.35,0.58,N
12.22734,-13.91221,315.86,0.36,0.58,2026-05-18,0315,N,nominal,2.0NRT,290.49,1.03,N
30.40154,19.61127,326.09,0.49,0.65,2026-05-18,0126,N,nominal,2.0NRT,286.92,1.85,N
43.84706,24.3406,299.27,0.38,0.58,2026-05-18,0122,N,nominal,2.0NRT,280.61,0.71,N
12.11481,-14.23203,302.53,0.35,0.57,2026-05-18,0315,N,nominal,2.0NRT,290.66,0.66,N
46.17788,12.74182,295.5,0.39,0.36,2026-05-18,0122,N,nominal,2.0NRT,280.88,0.49,N
