lat,lon,detection_date,detection_confidence,fire_radiative_power
-25.89201,29.12023,2026-05-18,nominal,0.78
-25.89719,29.11546,2026-05-18,nominal,1.25
29.23237,19.6887,2026-05-18,nominal,6.63
-26.0245,29.17161,2026-05-18,nominal,1.88
-26.02589,29.18744,2026-05-18,nominal,1.62
29.22952,19.69942,2026-05-18,nominal,7.53
-26.03289,29.20312,2026-05-18,nominal,0.91
29.22808,19.70481,2026-05-18,nominal,1.99
-26.03326,29.20723,2026-05-18,nominal,0.91
-26.02827,29.17347,2026-05-18,nominal,1.94
28.88647,20.95986,2026-05-18,nominal,5.44
-26.02891,29.1813,2026-05-18,nominal,1.73
28.71241,21.45148,2026-05-18,nominal,1.94
-26.03646,29.20509,2026-05-18,nominal,2.33
28.71211,21.37579,2026-05-18,nominal,1.75
-26.28511,28.15798,2026-05-18,nominal,1.23
28.71016,21.38264,2026-05-18,nominal,1.52
-26.28543,28.16153,2026-05-18,nominal,1.23
32.27766,3.98836,2026-05-18,nominal,1.64
-26.18095,25.99328,2026-05-18,nominal,1.38
28.71156,21.45289,2026-05-18,nominal,1.13
32.27412,3.9877,2026-05-18,nominal,0.69
-26.18552,25.9927,2026-05-18,nominal,2.27
28.7109,21.37688,2026-05-18,nominal,3.11
-26.54252,29.15341,2026-05-18,nominal,3.6
31.85266,6.03699,2026-05-18,nominal,0.52
-26.54287,29.15746,2026-05-18,nominal,1.94
31.85081,6.04935,2026-05-18,nominal,0.78
-26.54461,29.17778,2026-05-18,nominal,0.67
31.8502,6.05346,2026-05-18,nominal,0.48
-26.54776,29.14873,2026-05-18,nominal,2.73
31.83457,6.13492,2026-05-18,nominal,5.1
-26.55544,29.17239,2026-05-18,nominal,1.77
31.84933,6.03632,2026-05-18,nominal,0.87
-26.55929,29.15157,2026-05-18,nominal,1.01
31.84687,6.05278,2026-05-18,nominal,0.49
-26.56104,29.17175,2026-05-18,nominal,1.11
31.96167,5.21764,2026-05-18,nominal,0.95
-26.54099,29.15598,2026-05-18,nominal,2.0
28.94629,19.73544,2026-05-18,nominal,0.86
-26.54067,29.15193,2026-05-18,nominal,2.0
31.79993,6.05683,2026-05-18,nominal,0.67
-26.55152,29.14659,2026-05-18,nominal,1.47
31.79931,6.06093,2026-05-18,nominal,0.57
-26.55216,29.15466,2026-05-18,nominal,1.44
31.80586,5.99448,2026-05-18,nominal,1.63
-26.55776,29.15405,2026-05-18,nominal,1.44
31.78809,6.06709,2026-05-18,nominal,0.71
-28.67537,32.13374,2026-05-18,nominal,1.29
31.7564,6.14087,2026-05-18,nominal,0.32
-30.38525,29.96953,2026-05-18,nominal,1.94
28.91212,19.77428,2026-05-18,high,6.05
-30.38559,29.97473,2026-05-18,nominal,1.94
28.91367,19.76843,2026-05-18,nominal,6.23
-30.39174,29.97505,2026-05-18,nominal,1.54
28.91064,19.77986,2026-05-18,nominal,6.05
-30.38603,29.96985,2026-05-18,nominal,3.77
28.90919,19.78534,2026-05-18,nominal,1.81
-30.38633,29.97497,2026-05-18,nominal,1.4
28.90777,19.76569,2026-05-18,nominal,6.23
-30.38663,29.98013,2026-05-18,nominal,1.4
28.90611,19.77198,2026-05-18,high,6.05
-30.39247,29.97526,2026-05-18,nominal,1.4
28.90932,19.75986,2026-05-18,nominal,6.23
-30.87946,29.82299,2026-05-18,nominal,0.82
28.90461,19.77758,2026-05-18,nominal,6.05
-30.87979,29.82828,2026-05-18,nominal,0.82
28.90315,19.78309,2026-05-18,nominal,1.81
-30.87949,29.82249,2026-05-18,nominal,1.59
29.07381,19.06059,2026-05-18,high,2.65
-30.87979,29.8278,2026-05-18,nominal,1.97
29.0751,19.05564,2026-05-18,nominal,6.17
-30.98222,29.58274,2026-05-18,nominal,0.48
29.07252,19.06554,2026-05-18,nominal,2.65
-31.07309,29.56728,2026-05-18,nominal,0.72
29.07123,19.07048,2026-05-18,nominal,1.66
-31.13662,30.03591,2026-05-18,nominal,0.9
29.06798,19.05856,2026-05-18,nominal,2.65
-31.15406,29.70728,2026-05-18,nominal,0.77
29.06669,19.06351,2026-05-18,nominal,2.65
-31.18874,29.67917,2026-05-18,nominal,0.71
31.68798,6.18575,2026-05-18,nominal,0.33
-31.18904,29.68392,2026-05-18,nominal,0.71
31.84875,5.05558,2026-05-18,nominal,2.78
-31.19045,29.68309,2026-05-18,nominal,0.62
31.67596,6.04554,2026-05-18,nominal,0.83
-31.25289,29.41985,2026-05-18,nominal,1.72
31.66609,6.11102,2026-05-18,nominal,0.57
-31.25323,29.42524,2026-05-18,nominal,1.72
31.66746,6.05647,2026-05-18,nominal,1.41
-31.2592,29.42497,2026-05-18,nominal,0.91
31.66475,6.05168,2026-05-18,nominal,2.35
-31.27116,29.42469,2026-05-18,nominal,2.87
31.66413,6.05578,2026-05-18,nominal,2.35
-31.27084,29.4197,2026-05-18,nominal,2.87
31.66352,6.05987,2026-05-18,nominal,1.75
-31.30893,29.73167,2026-05-18,nominal,0.71
31.66536,6.04759,2026-05-18,nominal,0.99
-31.315,29.73128,2026-05-18,nominal,1.11
31.66142,6.05099,2026-05-18,nominal,2.35
-31.27323,29.42444,2026-05-18,nominal,4.93
31.66019,6.05919,2026-05-18,nominal,1.75
-31.30913,29.7318,2026-05-18,nominal,0.61
31.66081,6.05509,2026-05-18,nominal,2.35
-31.3152,29.73141,2026-05-18,nominal,0.61
31.68767,5.80609,2026-05-18,nominal,0.47
-31.3271,29.42395,2026-05-18,nominal,0.61
31.64611,5.99292,2026-05-18,nominal,0.58
31.63235,6.06189,2026-05-18,nominal,0.51
-31.47442,29.19993,2026-05-18,nominal,0.68
31.75109,5.22765,2026-05-18,nominal,0.97
-31.52634,28.32853,2026-05-18,nominal,0.75
31.22737,8.56172,2026-05-18,nominal,0.4
-31.52979,28.32821,2026-05-18,nominal,0.96
31.6334,5.98609,2026-05-18,nominal,0.52
-32.58833,27.03024,2026-05-18,nominal,1.73
31.59136,5.95799,2026-05-18,nominal,3.14
-32.59304,27.02305,2026-05-18,nominal,1.73
31.58532,5.95253,2026-05-18,nominal,1.78
-32.59338,27.02724,2026-05-18,nominal,1.73
31.54329,6.04951,2026-05-18,nominal,2.15
-32.59383,27.03287,2026-05-18,nominal,2.11
27.98879,22.31911,2026-05-18,nominal,1.89
-32.59212,27.02499,2026-05-18,nominal,2.19
27.9865,22.32708,2026-05-18,nominal,1.89
-32.59184,27.02114,2026-05-18,nominal,2.34
31.397,6.93279,2026-05-18,nominal,3.28
-32.59247,27.02973,2026-05-18,nominal,2.19
31.39244,6.94011,2026-05-18,nominal,0.8
-32.59291,27.03582,2026-05-18,nominal,1.35
31.17908,8.10396,2026-05-18,nominal,3.36
-32.59729,27.02317,2026-05-18,nominal,2.15
31.40461,5.97619,2026-05-18,nominal,1.44
-32.59804,27.0335,2026-05-18,nominal,1.63
31.40189,5.97143,2026-05-18,nominal,1.23
-32.60367,27.03801,2026-05-18,nominal,1.63
31.05736,8.03562,2026-05-18,nominal,4.36
-32.60332,27.03321,2026-05-18,nominal,1.63
31.05404,8.03486,2026-05-18,nominal,4.36
-32.93925,18.75898,2026-05-18,nominal,1.47
31.05472,8.0308,2026-05-18,nominal,3.61
31.3644,6.04885,2026-05-18,nominal,3.76
31.36045,6.05224,2026-05-18,nominal,2.93
31.01711,8.16281,2026-05-18,nominal,12.09
31.01779,8.15872,2026-05-18,nominal,0.71
31.01642,8.1669,2026-05-18,nominal,12.09
31.01377,8.16206,2026-05-18,nominal,12.09
31.01446,8.15797,2026-05-18,nominal,0.71
31.01309,8.16615,2026-05-18,nominal,12.09
31.01045,8.16131,2026-05-18,nominal,0.81
31.00839,8.17358,2026-05-18,nominal,1.25
31.18923,6.78688,2026-05-18,nominal,1.11
30.66243,8.10398,2026-05-18,nominal,0.79
28.05802,19.9094,2026-05-18,nominal,1.42
30.61138,8.26226,2026-05-18,nominal,6.44
28.05718,19.90938,2026-05-18,nominal,1.76
27.98404,19.90312,2026-05-18,nominal,4.87
28.58476,17.33027,2026-05-18,nominal,2.55
28.57939,17.32851,2026-05-18,nominal,2.55
30.8975,5.58579,2026-05-18,nominal,2.45
30.8957,5.58615,2026-05-18,nominal,2.06
30.87712,5.64152,2026-05-18,nominal,1.44
28.58475,17.32981,2026-05-18,nominal,2.53
